pmid,title,abstract
42418568,"In vivo engineering tumor cells to a universal ""all-in-one"" cancer vaccine with full antigen spectrum.","Cancer vaccines offer a promising strategy to initiate de novo T cell responses or enhance existing ones, either functioning independently or synergizing with T cell-modulating therapeutics to reduce tumor burden. The clinical development of cancer vaccines faces challenges such as limited antigen coverage, insufficient antigen presentation, immune suppressive microenvironment, and the availability of personalized vaccines. In this study, we developed a universal ""all-in-one"" cancer cell-derived vaccine (UniCVac) with comprehensive antigen spectrum coverage by programming tumor cells into antigen-presenting cells (APCs) through the codelivery of CIITA, NLRC5, CD80, and IL-2. This reprogramming mimics the professional APC phenotype, providing simultaneous HLA-I and HLA-II antigen presentation, costimulation, and T cell proliferation signals. These tumor-derived UniCVac can directly activate both CD4 + and CD8 + T cells in vitro, independent of APCs. In addition, their costimulation and T cell growth-stimulating capabilities result in superior CD4 + and CD8 + T cell activation and proliferation comparable to traditional APCs, with enhanced PI3K-AKT pathways activation. Single-cell transcriptome analysis confirmed the similarity in cellular subtypes between UniCVac-activated and traditional APC-activated T cells. In mouse models, the UniCVac vaccination reprogramed the tumor microenvironment from immunosuppressive to immune-permissive, induced robust CD4 + and CD8 + T cell expansion in both preventive and therapeutic tumor models, and achieved complete tumor regression in vivo. Our approach provides a platform for the development of universal cancer vaccines with full antigen spectrum coverage and the ability to directly activate both CD4 + and CD8 + T cells, offering potential combinatorial opportunities with existing T cell-based immunotherapies against cancer."
42418409,Identification of the oxidation stress-related gene signatures and functional verification of MINK1 in prostate cancer cells.,"BACKGROUND: A major challenge facing prostate cancer (PCa) cells is oxidative stress, yet the precise role and underlying mechanisms remain inadequately elucidated. The study sought to investigate the association between oxidative stress and PCa prognosis, as well as to identify potential regulatory pathways involved. METHODS: Oxidative stress-related genes and data were sourced from the Genecards, TCGA-PRAD, and GSE16560 databases. A risk model was developed using machine learning, including random forest and LASSO analyses. Survival analysis, functional and immune infiltrate analysis, as well as immunotherapy analysis were performed. The expression of MINK1 was examined, and the effects of MINK1 silencing on cell biological activities (including proliferation, migration, and invasion) were investigated, alongside analyses of MINK1-related pathways. RESULTS: Four genes (BCO1, MINK1, TAF1C, and MIS18BP1) were identified and utilized to develop an oxidative stress-risk score (OS-score). The high-OS-score predicted a poor prognosis, and OS-score was an independent prognostic factor for PCa. The OS-score demonstrated a positive correlation with CD8 + T cells, activated CD4 + T cells, and macrophages. Patients classified within the high-OS-score group were more effective in anti-PD-1 therapy (Nominal P = 0.001, Bonferroni corrected P = 0.011). A significant disparity was observed in the efficacy of immune checkpoint inhibitor treatment between the high- and low-OS-score groups (P = 1.1 × 10-9), with a higher proportion of responders in the high-OS-score group compared to non-responders. The key oxidative stress gene, MINK1, was experimentally validated and found to be highly expressed in PC-3 and DU145 cell lines. Silencing MINK1 resulted in decreased proliferation, migration, and invasion activity. Additionally, MINK1 knockdown induced G0/G1 phase arrest and inhibited nuclear translocation of NF-κB. CONCLUSION: In summary, oxidative stress is associated with a poor prognosis in PCa. Oxidative stress-related gene MINK1 may regulate the cell biological activity through cell cycle and NF-κB signaling pathway. This study may provide new clues for the identification and development of new markers for the diagnosis and prognosis of PCa patients."
42418282,"Targeted CysLTR1 Blockade Rescues Myeloid-Mediated Resistance to Immune Checkpoint Inhibition in Solid Malignancies: A Combined Genomic, Emulated Clinical Trial, and Epidemiological Negative-Control Analysis.","OBJECTIVES: Myeloid-driven inflammation contributes to resistance to immune checkpoint inhibitors (ICIs) in solid tumors, partly through neutrophil-mediated immunosuppressive mechanisms. Experimental evidence suggests cysteinyl leukotriene receptor 1 (CysLTR1) signaling promotes tumor-supportive myelopoiesis. We evaluated whether pharmacologic CysLTR1 blockade with montelukast could mitigate myeloid-mediated resistance to anti-PD-1 immunotherapy. METHODS: A triangulated translational framework was applied using 3 independent data sets. First, CYSLTR1 and ELANE transcript expression were analyzed in The Cancer Genome Atlas (TCGA; n=9907). Second, a propensity-matched emulated clinical trial was conducted in the Mount Sinai TriNetX network, comparing pembrolizumab plus montelukast versus pembrolizumab alone in advanced solid malignancies (n=70 per arm). Third, a negative-control analysis was performed in UK Biobank cancer patients (n=19,443) using multivariable Cox proportional hazards models. RESULTS: High concurrent CYSLTR1 and ELANE expression was associated with significantly poorer long-term survival in TCGA (P<0.0001). In TriNetX, concurrent montelukast exposure was associated with improved overall survival during pembrolizumab treatment (HR=0.505; 95% CI: 0.256-0.995; P=0.0441). In the UK Biobank, baseline neutrophil-to-lymphocyte ratio independently predicted mortality, but montelukast showed no survival interaction (P=0.957), supporting immunotherapy-specific rather than generalized oncologic benefit. CONCLUSION: CysLTR1 blockade with montelukast may represent a low-cost companion strategy to overcome myeloid-mediated ICI resistance. These findings support prospective validation of combined anti-PD-1 and anti-CysLTR1 therapy in advanced solid tumors."
42418071,Combinatorial cancer therapy mediated by hydroxyapatite nanoparticles: a comprehensive review.,"Hydroxyapatite nanoparticles (HANPs) have emerged as versatile and biocompatible platforms in cancer nanomedicine, offering multifunctional roles in drug delivery, imaging, and combinatorial therapy. Their structural similarity to bone apatite, tunable surface chemistry, and ion substitution capability enable precise functionalization for targeted and sustained drug release. This review provides a comprehensive overview of HA-mediated combinatorial cancer therapies, emphasizing their role as drug carriers, photothermal agents, and immunomodulators. The integration of HANPs with chemotherapeutic drugs, immunotherapy, photothermal and photodynamic therapy, and trace-element doping has shown significant synergistic effects enhancing antitumor efficacy while minimizing systemic toxicity. Furthermore, HANPs have demonstrated promise as theranostic agents by combining therapeutic and diagnostic functions through multimodal imaging techniques, including MRI, fluorescence, and PET/SPECT. Collectively, these advances underscore HANPs as intelligent, biocompatible nanoplatforms capable of simultaneous diagnosis and therapy. Despite remarkable preclinical progress, future studies must address scalability, long-term biosafety, and clinical translation to realize their potential in precision oncology fully."
42417858,Real-world treatment patterns and early outcomes in advanced intrahepatic cholangiocarcinoma: a descriptive case series.,"Intrahepatic cholangiocarcinoma (ICC) has a poor prognosis, with 70-80% of patients presenting advanced/metastatic disease. Conventional first-line chemotherapies have limitations, and targeted-immunotherapy combinations need real-world validation. This retrospective, single-center case series enrolled 12 advanced ICC patients to describe the real-world clinical characteristics, treatment patterns which including lenvatinib-based targeted-immunotherapy with or without Transarterial Interventional Therapies (TAIT) and conventional chemotherapy, as well as early efficacy and safety outcomes; and to generate preliminary hypotheses for subsequent prospective studies, without any intention to compare the efficacy of different regimens. Among the 12 patients, objective response rate was 33.3%, and disease control rate 83.33%. Nine received lenvatinib + PD-1/PD-L1 inhibitors (targeted-immunotherapy group), and 3 received systemic chemotherapy. Among patients receiving lenvatinib + PD-1/PD-L1 inhibitors, 22.22% experienced grade ≥ 3 treatment-related adverse events (TRAEs) with a median treatment duration of 9.0 months; among patients receiving conventional chemotherapy, 66.7% experienced grade ≥ 3 TRAEs with a median treatment duration of 19.0 months. Early TAIT (≤ 2 weeks) was associated with higher tumor reduction (mean 30.52 vs. 7.69% for non-early), which may help alleviate tumor-related symptoms in patients with high initial tumor burden. Baseline CA19-9 and albumin/globulin ratio showed exploratory potential associations with treatment efficacy without formal statistical analysis; larger initial diameter correlated with better response. This study describes that lenvatinib + Immune Checkpoint Inhibitors (ICIs) combined with early TAIT may be a feasible multimodal strategy used in real-world practice for advanced ICC, with preliminary observations of feasibility. Limitations include small single-center sample and short follow-up. The high heterogeneity of treatment regimens may also limit the comparability of efficacy and safety. Larger prospective studies are needed."
42417446,Cutaneous Melanoma of the Head and Neck: Contemporary Perspectives on Diagnosis and Management.,"&lt;p&gt;&lt;strong&gt;Introduction:&lt;/strong&gt; Cutaneous melanoma of the head and neck represents a distinct subtype of cutaneous melanoma with unique epidemiological, biological, diagnostic, and therapeutic characteristics. Although it accounts for approximately one-fifth of all cutaneous melanoma cases, it occurs more frequently in older individuals, more often arises in chronically sun-exposed skin, and is associated with a worse prognosis than melanomas at other anatomical sites. This review presents current knowledge on the epidemiology, aetiology, clinical presentation, diagnosis, and treatment of cutaneous melanoma of the head and neck, with particular emphasis on the specific features of this location.&lt;/p&gt;&lt;p&gt;&lt;strong&gt;Aim:&lt;/strong&gt; The aim of this study was to present current diagnostic and treatment strategies for cutaneous melanoma of the head and neck, with particular emphasis on the unique features of this anatomical location.&lt;/p&gt;&lt;p&gt;&lt;strong&gt;Methods:&lt;/strong&gt; This article is a narrative review informed by a structured literature search. The search was conducted in PubMed/MEDLINE, Scopus, and Web of Science, covering publications from January 2014 to March 2026.&lt;/p&gt;&lt;p&gt;&lt;strong&gt;Results:&lt;/strong&gt; Chronic ultraviolet radiation exposure remains the main aetiological factor, acting in conjunction with genetic predisposition and host phenotypic traits. The clinical presentation is diverse and includes both classic pigmented lesions and nodular, amelanotic, and lentigo maligna subtypes, with the latter being particularly common in chronically sun-damaged skin. Diagnosis requires an integrated approach involving clinical examination, dermoscopy, appropriately planned biopsy, and histopathological assessment, with selected cases also benefiting from non-invasive techniques, imaging studies, molecular diagnostics, and artificial intelligence-based tools. Sentinel lymph node biopsy remains a key component of regional staging. Surgical excision is the cornerstone of local treatment, although resection margins in this region often need to be individualised because of functional and aesthetic considerations. In recent years, systemic treatment, especially immunotherapy and targeted therapy, has gained major importance and has significantly improved outcomes in both the adjuvant and advanced disease settings.&lt;/p&gt;&lt;p&gt;&lt;strong&gt;Conclusions:&lt;/strong&gt; Cutaneous melanoma of the head and neck requires multidisciplinary and individualised management, and improved prognosis depends on early diagnosis, accurate staging, and the appropriate use of modern therapeutic strategies.&lt;/p&gt."
42417266,Harnessing Immunogenic PANoptosis With Iridium(III) Biradical Photosensitizers for Melanoma Photoimmunotherapy.,"The efficacy of photodynamic therapy (PDT) is fundamentally constrained by an intrinsic photophysical trade-off between its two ROS-generating mechanisms. Type I pathways require a strongly reducing excited state to drive electron transfer, whereas type II pathways demand a long-lived triplet state to enable efficient energy transfer to molecular oxygen. Since both originate from the same triplet manifold, optimizing one property inevitably compromises the other, limiting the oxidative potency and broad applicability of conventional photosensitizers within the heterogeneous tumor microenvironment. To overcome this limitation, in this study, the design, synthesis, and biological evaluation of a cyclometalated iridium(III) photoswitchable complex is reported, engineered to undergo photo-induced intramolecular homolytic bond cleavage to generate a transient biradical intermediate. The resulting open-shell species simultaneously consist of a strongly reducing radical intermediate and a quinoid-stabilized long-lived triplet excited state, concurrently activating type I electron-transfer and type II energy-transfer pathways to produce in tandem superoxide, hydroxyl radicals, and singlet oxygen. This synergistic dual-pathway oxidative stress triggers PANoptosis, a coordinated cell-death program concurrently engaging apoptotic, necroptotic, and pyroptotic machinery, and elicits a robust systemic antitumor immune response, establishing intramolecular biradical generation as a compelling molecular design principle for next-generation photodynamic cancer immunotherapy."
42417053,Shared clinical decision-making for vaccination: A view through the lens of mid-adult HPV vaccination.,"In the summer of 2019, the U.S. Advisory Committee on Immunization Practices (ACIP) updated its recommendations for HPV vaccination. The new recommendation regarding adults ages 27-45y (i.e., mid-adults) indicated that a ""shared clinical decision-making"" (SCDM) approach, rather than a routine recommendation, should be used. The Morbidity and Mortality Weekly Report (MMWR) publication that described this SCDM recommendation included specific conditional guidance and considerations for SCDM. However, some aspects of the guidance are vague, and others are inconsistent with SCDM, which could lead to confusion for adult health care providers and ultimately lead to under-vaccination of eligible individuals who would benefit from HPV vaccination. More recently, in the U.S. there have been policy proposals to shift additional vaccine recommendations from routine to SCDM. In this commentary, we briefly outline the ACIP recommendations, provide a clear overview of SCDM, and then offer potential implementation challenges for this guideline. For both unvaccinated adult patients and the providers who serve them, clear guidance on effective SCDM practices for HPV vaccination is an essential component for addressing the prevention of HPV-related disease. Using the context of mid-adult HPV vaccination, we also discuss the implications of SCDM recommendations for other vaccines."
42416828,Adverse events associated with targeted therapy and immunotherapy for ovarian cancer: a FAERS pharmacovigilance study.,"BACKGROUND: The addition of targeted therapy and immunotherapy has significantly improved survival in ovarian cancer patients. This analysis aimed to investigate the adverse events associated with targeted and immunotherapy drugs in patients with ovarian cancer. METHODS: Adverse event reports related to bevacizumab, poly (ADP-ribose) polymerase (PARP) inhibitors, and immune checkpoint inhibitors (ICI: PD-1, PD-L1, CTLA-4 inhibitors) in ovarian cancer were sourced from the FDA Adverse Event Reporting System (FAERS) database (Q3 2014 to Q3 2025). The disproportionality analysis, including the reporting odds ratio (ROR), proportional reporting ratio (PRR), and Bayesian confidence propagation neural network (BCPNN), was employed to detect safety signals associated with different drugs. RESULTS: A total of 209,920 adverse event reports were included in the analysis, involving 33,538 ovarian cancer patients. Among adverse events associated with the target drug (n = 183,935), 157,470 (85.61%) reports were related to PARP inhibitors, followed by bevacizumab [21,001 (11.42%)], PD-1 inhibitors [3,702 (2.01%)], PD-L1 inhibitors [1,317 (0.72%)], and CTLA-4 inhibitors [425 (0.23%)]. Adverse events are most frequently reported within 30 days of taking the medication. The most frequently reported safety signals at the preferred term level associated with PARP inhibitors included Energy increased, Vitamin D decreased, Nocturia, Intentional underdose, Hunger, and Brain neoplasm. For bevacizumab, the most frequently reported safety signals were Gastrointestinal perforation, Proteinuria, Intestinal perforation, and Embolism. For ICI, the most frequently reported safety signals comprised Product use in unapproved indication, Off label use, Death, and Malignant neoplasm progression. The most frequently reported safety signals linked to combination therapy using different drugs vary. For the combination of bevacizumab and PARP inhibitors, the most frequently reported safety signals included Interstitial lung disease, Myelodysplastic syndrome, Myelosuppression, Acute myeloid leukaemia, and Proteinuria. CONCLUSION: This study systematically analyzed the safety signals related to different drugs during the treatment of ovarian cancer, which may assist clinicians in identifying drug alert signals."
42416515,Advances and Future Expectations in Oncolytic Virus Therapy for Glioblastoma: A Systematic Review of Clinical Trials.,"BACKGROUND: Glioblastoma (GB), or grade IV astrocytoma, is the most prevalent primary tumor of the central nervous system (CNS). This systematic review aimed to investigate the efficacy and tolerability of virotherapy treatment for recurrent and progressive glioblastoma patients. We also examined recent progress in preclinical and clinical trials, and future perspectives. METHODS: We developed a search strategy using Medical Subject Headings (MeSH) terms and keywords. Inclusion criteria were English language published and ongoing clinical trials that involved patients undergoing virotherapy for glioblastoma. We searched through PubMed, Embase, Ovid, Scopus, Cochrane databases and https://Clinicaltrials.gov from inception until May 9 th , 2025. Two independent reviewers screened records, extracted data, and assessed risk of bias (ROB2). No meta-analysis was performed due to heterogeneity. PROSPERO CRD420250636791. RESULTS: Of 975 records screened, 43 studies (24 published, 19 ongoing) enrolled 462 virotherapy patients. Most common adverse events: headache (n=145), fatigue (n=83) and fever (n=78). Risk of bias was moderate to serious in most studies. CONCLUSION: We encountered several limitations, including high heterogeneity, reporting inconsistencies, and small sample sizes. Most patients experienced disease stabilization. However, objective response and complete remission occurred infrequently. A small proportion of patients achieved long-term survival, suggesting that virotherapy could be effective in specific subgroups. While oncolytic virus therapy is generally tolerated, neurotoxicity remains the most significant risk. Adverse effects were mostly Grade 1-2. Some trials (notably with HSV-1 or NDV) had severe events. Symptoms were often transient and manageable but need closely monitoring. However, the observed heterogeneity, limited data standardisation, and lack of randomized controlled trials, besides tumor heterogeneity, antiviral immunity and immunosuppressive microenvironment, necessitate further research to identify predictive biomarkers and optimize therapeutic protocols. We also suggest further trials on novel delivery methods, such as the nanoparticles, to enhance blood-brain barrier (BBB) penetration."
42416234,Perspectives and preferences on palliative chemotherapy-immunotherapy in gallbladder cancer patients.,"BACKGROUND: Patients' perspective and preferences about the chemotherapy are not known. This study investigates the perspectives and treatment preferences of Indian gallbladder (GBC) patients. METHODS: A prospective 18-month study at a tertiary cancer center in Mumbai enrolled patients with histologically confirmed GBC receiving palliative chemotherapy, who were counselled in a structured format regarding disease, treatment options, outcomes and drug costs. Data were collected through structured interviews using quality-of-life and decision-making questionnaires. Descriptive statistics were used to analyse patient responses. A pilot sample of 30 patients was used to assess whether ≥90% prioritise survival as the primary expectation from chemo-immunotherapy. Using an exact one-sided binomial design, ≤23 responses favouring survival would indicate the proportion is <90% and warrant further study. We also evaluated the psychological distress among these patients. RESULTS: Among 30 participants (56.67% female), 83.33% were of advanced stage. Baseline demographics is depicted. Treatment priorities varied: 40% preferred life prolongation, 23.33% favoured symptom relief and 36.67% valued both equally. Financial burden strongly influenced decisions about immunotherapy, only 6.67% were willing to pay ₹35 lakhs out-of-pocket for a 1.5-month gain, while 100% would take treatment if it were government-funded. Emotional distress was significant, with a mean NCCN score of 6.21 ± 1.80. Major concerns included financial strain (42%), fear (45%) and depression (33%). CONCLUSION: Twenty-three percent of patients favoured only symptom relief as a treatment when they were educated about the outcomes. A larger study is warranted to further consolidate our findings."
